concept_id	concept_synonym_name	language_concept_id
40217092	Oc ni pt home prog	4180186
40217092	Ongoing care not clinically indicated because the patient needed a home program only, referral to another provider or facility, or consultation only, as documented in the medical record	4180186
40217093	Docu dx degen neuro	4180186
40217094	Start eoc doc med rec	4180186
40217095	Knee ankle foot device, any material, single or double upright, swing and stance phase microprocessor control with adjustability, includes all components (e.g., sensors, batteries, charger), any type activation, with or without ankle joint(s), custom fabricated	4180186
40217095	Kaf sng/dbl swg/stn mcpr cus	4180186
40217096	Disp col sto bag breast milk	4180186
40217097	Lo freq us diathermy device	4180186
40217098	Whirlpool tub walkin portabl	4180186
40217099	Ces system	4180186
40217099	Cranial electrotherapy stimulation (ces) system, any type	4180186
40217100	Electronic posa treatment	4180186
40217101	Risk-adjusted functional status change residual score for the neck impairment successfully calculated and the score was equal to zero (0) or greater than zero (> 0)	4180186
40217101	Res change sc >=0	4180186
40217102	Visit esketamine, > 56m	4180186
40217102	Office or other outpatient visit for the evaluation and management of an established patient that requires the supervision of a physician or other qualified health care professional and provision of greater than 56 mg esketamine nasal self-administration, includes 2 hours post-administration observation	4180186
40217103	Md mang high risk dx 30	4180186
40217103	Comprehensive care management services for a single high-risk disease, e.g., principal care management, at least 30 minutes of physician or other qualified health care professional time per calendar month with the following elements: one complex chronic condition lasting at least 3 months, which is the focus of the care plan, the condition is of sufficient severity to place patient at risk of hospitalization or have been the cause of a recent hospitalization, the condition requires development or revision of disease-specific care plan, the condition requires frequent adjustments in the medication regimen, and/or the management of the condition is unusually complex due to comorbidities	4180186
40217134	Blood component/product noc	4180186
40217135	Wc dynamic pos back hardware	4180186
40217137	Inj., lumoxiti, 0.01 mg	4180186
40217138	Inj, polatuzumab vedotin 1mg	4180186
40217139	Inj. tagraxofusp-erzs 10 mcg	4180186
40217140	Inj., emapalumab-lzsg, 1 mg	4180186
40217141	Inj mogamulizumab-kpkc, 1 mg	4180186
40217142	Injection, infugem, 200 mg	4180186
40217143	Inj., cemiplimab-rwlc, 1 mg	4180186
40217144	Inj. calaspargase pegol-mknl	4180186
40217145	Injection, tagraxofusp-erzs	4180186
40217146	Moxetumomab pasudotox-tdfk	4180186
40217147	Injection, cemiplimab-rwlc	4180186
40217148	Inj., belrapzo 1 mg	4180186
40217149	Inj., kanjinti, 10 mg	4180186
40217150	Inj., trazimera, 10 mg	4180186
40217151	Injection, udenyca 0.5 mg	4180186
40217152	Myown harv prep proc sq cm	4180186
40217153	Progenamatrix, per sq cm	4180186
40217154	Amniowrap2 per sq cm	4180186
40217155	Bellacell hd, surederm sq cm	4180186
40217156	Surgigraft dual per sq cm	4180186
40217157	Surgicord per sq cm	4180186
40217158	Woundfix biowound plus xplus	4180186
40217159	Artacent cord per sq cm	4180186
40217160	Axolotl ambient, cryo 0.1 mg	4180186
40217161	Cellesta cord per sq cm	4180186
40217164	Amnion bio or axobio sq cm	4180186
40217165	Axolotl graf dualgraf sq cm	4180186
40217166	Surgraft per sq cm	4180186
40217167	Novafix per sq cm	4180186
40217168	Fluid flow or fluid gf 1 cc	4180186
40217169	Membrane graft or wrap sq cm	4180186
40217170	Mometasone furoate sinus imp	4180186
40217171	Inj., triluron, 1 mg	4180186
40217172	Synojoynt, inj., 1 mg	4180186
40217173	Inj., yutiq, 0.01 mg	4180186
40217174	Inj. romosozumab-aqqg 1 mg	4180186
40217175	Riboflavin 5'phos opth<=3ml	4180186
40217176	Inj., meropenem, vaborbactam	4180186
40217177	Aripiprazole lauroxil 1 mg	4180186
40217178	Inj., aristada initio, 1 mg	4180186
40217179	Fe pyro cit pow 0.1 mg iron	4180186
40217180	Inj., ravulizumab-cwvz 10 mg	4180186
40217181	Phenylep ketorolac opth soln	4180186
40217182	Dexametha opth insert 0.1 mg	4180186
40217183	Inj., plazomicin, 5 mg	4180186
40217184	Inj, brolucizumab-dbll, 1 mg	4180186
40217185	Inj., eravacycline, 1 mg	4180186
40217186	Inj., omadacycline, 1 mg	4180186
40217187	Inj, brexanolone	4180186
40217188	Injection, lefamulin	4180186
40217189	Injection, ravulizumab-cwv	4180186
40217190	Injection, omadacycline	4180186
40217191	Injection, emapalumab-lzsg	4180186
40217192	Dexamethasone ophth insert	4180186
40217193	Injection, caplacizumab-yhdp	4180186
40217194	Cocaine hcl nasal solution	4180186
40217195	Injection, levoleucovorin	4180186
40217196	Inj, coagulation factor xa	4180186
40217197	Injection, fremanezumab-vfrm	4180186
40217198	Oc no ind pt 1-2 vis	4180186
40217199	Ni rehab med chiro	4180186
40217200	Emerge cases	4180186
40217201	Functional status was not measured by the oxford knee score (oks) or the knee injury and osteoarthritis outcome score joint replacement (koos, jr.) at one year (9 to 15 months) postoperatively	4180186
40217201	Fs no oks	4180186
40217202	Oc ni pt dc 1-2 vis	4180186
40217202	Ongoing care not indicated, patient discharged after only 1-2 visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery for surgery or hospitalized	4180186
40217203	Oc ni pt self dc 1-2 vis	4180186
40217204	Oc ni pt 1-2 vis	4180186
40217205	Docu dx degen neuro	4180186
40217206	Start eoc doc med rec	4180186
40217207	Start eoc doc med rec	4180186
40217208	Oc ni pt selfdc	4180186
40217208	Ongoing care not possible because the patient self-discharged early (e.g., financial or insurance reasons, transportation problems, or reason unknown)	4180186
40217209	Oc ni pt dc	4180186
40217209	Ongoing care not medically possible because the patient was discharged early due to specific medical events, documented in the medical record, such as the patient became hospitalized or scheduled for surgery	4180186
40217210	Oc ni pt home prog	4180186
40217210	Ongoing care not clinically indicated because the patient needed a home program only, referral to another provider or facility, or consultation only, as documented in the medical record	4180186
40217211	Docu dx degen neuro	4180186
40217212	Ongoing care not possible because the patient self-discharged early (e.g., financial or insurance reasons, transportation problems, or reason unknown)	4180186
40217212	Oc ni pt selfdc	4180186
40217213	Ongoing care not medically possible because the patient was discharged early due to specific medical events, documented in the medical record, such as the patient became hospitalized or scheduled for surgery	4180186
40217213	Oc ni pt dc	4180186
40217214	Ongoing care not clinically indicated because the patient needed a home program only, referral to another provider or facility, or consultation only, as documented in the medical record	4180186
40217214	Oc ni pt home prog	4180186
40217215	Docu dx degen neuro	4180186
40217216	Start eoc doc med rec	4180186
40217217	Ongoing care not possible because the patient self-discharged early (e.g., financial or insurance reasons, transportation problems, or reason unknown)	4180186
40217217	Oc ni pt selfdc 1-2 vis	4180186
40217218	Patients 81 years of age and older with at least one claim/encounter for frailty during the six months prior to the measurement period through december 31 of the measurement period	4180186
40217218	Pt 81+ frailty	4180186
40217219	Risk-adjusted functional status change residual score for the neck impairment successfully calculated and the score was less than zero (< 0)	4180186
40217219	Res change sc < 0	4180186
40217220	No pt adm dx no neck fs prom	4180186
40217220	Patient refused to participate at admission and/or discharge; patient unable to complete the neck fs prom at admission or discharge due to cognitive deficit, visual deficit, motor deficit, language barrier, or low reading level, and a suitable proxy/recorder is not available; patient self-discharged early; medical reason	4180186
40217221	No infl vacc 07/01 to 06/30	4180186
40217221	Patient did not receive an influenza vaccine on or between july 1 of the year prior to the measurement period and june 30 of the measurement period; or did not have a prior influenza virus vaccine adverse reaction any time before or during the measurement period	4180186
40217222	Adv rx infl vacc	4180186
40217223	Infl vacc 07/01 to 06/30	4180186
40217224	Patient did not receive at least one dose of the herpes zoster live vaccine or two doses of the herpes zoster recombinant vaccine (at least 28 days apart) anytime on or after the patient's 50th birthday before or during the measurement period; or have prior adverse reaction caused by zoster vaccine or its components any time during or before the measurement period	4180186
40217224	No herpzos 50+	4180186
40217225	Adv rx zos	4180186
40217226	Herpzos 50+	4180186
40217227	No pneum vacc 12 mo 60+	4180186
40217227	Patient did not receive both the 13-valent pneumococcal conjugate vaccine and the 23-valent pneumococcal polysaccharide vaccine at least 12 months apart, with the first occurrence after the age of 60 before or during measurement period; or have prior pneumococcal vaccine adverse reaction any time during or before the measurement period	4180186
40217228	Pneum vacc adv rx	4180186
40217229	Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and a dispensed medication for dementia during the measurement period or the year prior to the measurement period	4180186
40217229	Pt 66-80 frailty and med dem	4180186
40217230	Pneum vacc 12 mo 60+	4180186
40217231	Pt 66-80 frailty adv ill	4180186
40217232	No prior td or hx contra	4180186
40217232	Patient did not receive at least one td vaccine or one tdap vaccine between nine years prior to the start of the measurement period and the end of the measurement period; or have history of at least one of the following contraindications any time during or before the measurement period: anaphylaxis due to tdap vaccine, anaphylaxis due to td vaccine or its components; encephalopathy due to tdap or td vaccination (post tetanus vaccination encephalitis, post diphtheria vaccination encephalitis or post pertussis vaccination encephalitis.)	4180186
40217233	Patient had history of at least one of the following contraindications any time during or before the measurement period: anaphylaxis due to tdap vaccine, anaphylaxis due to td vaccine or its components; encephalopathy due to tdap or td vaccination (post tetanus vaccination encephalitis, post diphtheria vaccination encephalitis or post pertussis vaccination encephalitis.)	4180186
40217233	Hist contraindications	4180186
40217234	Td 9 yrs start end meas	4180186
40217235	Hosp dur meas pd	4180186
40217236	Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care	4180186
40217236	Dx degen neuro	4180186
40217237	Multimodal pain management was not used	4180186
40217237	No mpm	4180186
40217238	No mpm med rsn	4180186
40217239	Multimodal pain management was used	4180186
40217239	Mpm used	4180186
40217240	Leg pain measured by the visual analog scale (vas) at one year (9 to 15 months) postoperatively was greater than 3.0 and leg pain measured by the visual analog scale (vas) within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated less than an improvement of 5.0 points	4180186
40217240	Leg pain vas 9-15mo > 3	4180186
40217241	Leg pain vas 9-15mo <= 3	4180186
40217241	Leg pain as measured by the visual analog scale (vas) at one year (9 to 15 months) postoperatively was less than or equal to 3.0 or leg pain measured by the visual analog scale (vas) within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated an improvement of 5.0 points or greater	4180186
40217242	Functional status measured by the oswestry disability index (odi version 2.1a) at three months (6 - 20 weeks) postoperatively was greater than 22 and functional status measured by the odi version 2.1a within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated an improvement of less than 30 points	4180186
40217242	Fsodi 6-20wk >22 or chg 30pt	4180186
40217243	Functional status measured by the oswestry disability index (odi version 2.1a) at one year (9 to 15 months) postoperatively was less than or equal to 22 or functional status measured by the odi version 2.1a within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated an improvement of 30 points or greater	4180186
40217243	Fs odi 9-15mo postop<= 22	4180186
40217244	Leg pain measured by the visual analog scale (vas) at three months (6 - 20 weeks) postoperatively was greater than 3.0 and leg pain measured by the visual analog scale (vas) within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated less than an improvement of 5.0 points	4180186
40217244	Leg pain vas 6-20wk > 3	4180186
40217245	Leg pain measured by the visual analog scale (vas) at three months (6 - 20 weeks) postoperatively was less than or equal to 3.0 or leg pain measured by the visual analog scale (vas) within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated an improvement of 5.0 points or greater	4180186
40217245	Leg pain vas 6-20wk <= 3	4180186
40217246	Back pain measured by the visual analog scale (vas) pain at one year (9 to 15 months) postoperatively was greater than 3.0 and back pain measured by the visual analog scale (vas) within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated a change of less than 5.0	4180186
40217246	Bk pain vas 9-20mo > 3	4180186
40217247	Bk pain vas 9-15mo <= 3	4180186
40217247	Back pain as measured by the visual analog scale (vas) at one year (9 to 15 months) postoperatively was less than or equal to 3.0 or back pain measured by the visual analog scale (vas) within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated a change of 5.0 points or greater	4180186
40217248	Back pain measured by the visual analog scale (vas) at three months (6 - 20 weeks) postoperatively was greater than 3.0 and back pain measured by the visual analog scale (vas) within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated a change of less than an improvement of 5.0 points	4180186
40217248	Bk pain vas 6-20wk > 3	4180186
40217249	Back pain measured by the visual analog scale (vas) at three months (6 - 20 weeks) postoperatively was less than or equal to 3.0 or back pain measured by the visual analog scale (vas) within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated an improvement of 5.0 points or greater	4180186
40217249	Bk pain vas 6-20wk <= 3	4180186
40217250	Patients 66 years of age or older with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217250	Pt 66+ frailty and adv ill	4180186
40217251	Pt 66+ frailty and med dem	4180186
40217252	Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217252	Pt 66-80 frailty and adv ill	4180186
40217253	Pt 66-80 frailty and med dem	4180186
40217254	Pt 81+ frailty	4180186
40217255	Pt 66+ lt inst > 90	4180186
40217256	No bp outpt	4180186
40217257	Documentation of medical reason(s) for not on a daily aspirin or other antiplatelet (e.g. history of gastrointestinal bleed, intra-cranial bleed, blood disorders, idiopathic thrombocytopenic purpura (itp), gastric bypass or documentation of active anticoagulant use during the measurement period)	4180186
40217257	No aspirin med rsn	4180186
40217258	Pt 66-80 frailty and adv ill	4180186
40217258	Patients 66 - 80 years of age with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217259	Patients 66-80 years of age and had at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217259	Pt 66-80 frailty med dem	4180186
40217260	Fs odi 6-20wk postop <= 22	4180186
40217260	Functional status measured by the oswestry disability index (odi version 2.1a) at three months (6-20 weeks) postoperatively was less than or equal to 22 or functional status measured by the odi version 2.1a within three months preoperatively and at three months (6-20 weeks) postoperatively demonstrated an improvement of 30 points or greater	4180186
40217261	Depression, anxiety, apathy, and psychosis not assessed	4180186
40217261	Psy/dep/anx/apandicd noasse	4180186
40217262	Depression, anxiety, apathy, and psychosis assessed	4180186
40217262	Psy dep anx ap and icd asse	4180186
40217263	No calc vitd opt	4180186
40217264	Calc vitd opt	4180186
40217265	Patients 81 years of age and older with at least one claim/encounter for frailty during the measurement period	4180186
40217265	Pt 81+ frailty	4180186
40217266	Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217266	Pt 66-80 frailty and adv ill	4180186
40217267	Pt 66-80 frailty and adv ill	4180186
40217267	Patients 66 - 80 years of age with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217268	Patients 66 - 80 years of age with at least one claim/encounter for frailty during the measurement period and a dispensed medication for dementia during the measurement period or the year prior to the measurement period	4180186
40217268	Pt 66-80 frailty and med dem	4180186
40217269	Pt 66-80 frailty and med dem	4180186
40217270	Pred>5 mg >6m, no chg da	4180186
40217271	Pred<=5 mg ra glu <6m	4180186
40217272	Pt 66+ frailty and adv ill	4180186
40217272	Patients 66 years of age and older with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217273	Pt 66+ frailty and med dem	4180186
40217274	Patient age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54 or 56 for more than 90 consecutive days during the measurement period	4180186
40217274	Pt 66+ snp or ltc pos > 90d	4180186
40217275	Patients 66 years of age and older with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217275	Pt 66+ frailty and adv ill	4180186
40217276	Pt 66+ frailty and med dem	4180186
40217277	Patient age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54 or 56 for more than 90 consecutive days during the measurement period	4180186
40217277	Pt 66+ snp or ltc pos > 90d	4180186
40217278	Eye img valid w/7 stereo	4180186
40217279	7 stereo photos interpret	4180186
40217280	Dil retinal eye exam	4180186
40217281	Pt 66+ frailty and adv ill	4180186
40217281	Patients 66 years of age and older with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217282	Pt 66+ frailty and med dem	4180186
40217283	Patients 66 years of age and older with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217283	Pt 66+ frailty and adv ill	4180186
40217284	Pt 66+ frailty and med dem	4180186
40217285	Dx uri 3d after other dx	4180186
40217285	Episodes where the patient had a competing diagnosis on or within three days after the episode date (e.g., intestinal infection, pertussis, bacterial infection, lyme disease, otitis media, acute sinusitis, chronic sinusitis, infection of the adenoids, prostatitis, cellulitis, mastoiditis, or bone infections, acute lymphadenitis, impetigo, skin staph infections, pneumonia/gonococcal infections, venereal disease (syphilis, chlamydia, inflammatory diseases [female reproductive organs]), infections of the kidney, cystitis or uti)	4180186
40217286	No rsn ace arb arni	4180186
40217287	Sys rsn no ace arn arni	4180186
40217288	Pt rsn no ace arn arni	4180186
40217289	Documentation of medical reason(s) for not prescribing ace inhibitor or arb or arni therapy (e.g., hypotensive patients who are at immediate risk of cardiogenic shock, hospitalized patients who have experienced marked azotemia, allergy, intolerance, other medical reasons)	4180186
40217289	Med doc rsn no ace arn arni	4180186
40217290	Ace arb arni	4180186
40217291	Pt 66+ frailty and adv ill	4180186
40217291	Patients 66 years of age and older with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period	4180186
40217292	Pt 66+ frailty and med dem	4180186
40217293	A1c level 7 to 9%	4180186
40217294	Patients age 66 and older in institutional special needs plans (snp) or residing in long-term care with a pos code 32, 33, 34, 54 or 56 for more than 90 consecutive days during the measurement period	4180186
40217294	Pt 66+ snp or ltc pos > 90d	4180186
40217295	Functional status measured by the oswestry disability index (odi version 2.1a) at one year (9 to 15 months) postoperatively was greater than 22 and functional status measured by the odi version 2.1a within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated an improvement of less than 30 points	4180186
40217295	Fs odi 9-15mo > 22	4180186
40217296	Cdsm qualified nos	4180186
40217297	Cdsm stanson	4180186
40217298	Cdsm sage health	4180186
40217299	Cdsm cranberry pk	4180186
40217300	Cdsm test approp	4180186
40217301	Cdsm nia	4180186
40217302	Cdsm ndsc	4180186
40217303	Cdsm medicalis	4180186
40217304	Cdsm medcurrent	4180186
40217305	Cdsm evicore	4180186
40217306	Cdsm applied pathways	4180186
40217307	Cdsm aim	4180186
40217308	Cgs dose adj insulin inf pmp	4180186
40217309	Weekly supply maint cgs pump	4180186
40217310	Office or other outpatient visit for the evaluation and management of an established patient that requires the supervision of a physician or other qualified health care professional and provision of up to 56 mg of esketamine nasal self-administration, includes 2 hours post-administration observation	4180186
40217310	Visit esketamine 56m or less	4180186
40217311	Post-d/c care plan overs 60m	4180186
40217311	Comprehensive (60 mins) home care plan oversight. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility.)	4180186
40217312	Post-d/c care plan overs 30m	4180186
40217312	Limited (30 minutes) care plan oversight. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217313	Post-d/c h vst ext pt 75 m	4180186
40217313	Extensive (75 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217314	Post-d/c h vst ext pt 60 m	4180186
40217314	Comprehensive (60 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217315	Moderate (45 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217315	Post-d/c h vst ext pt 45 m	4180186
40217316	Limited (30 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217316	Post-d/c h vst ext pt 30 m	4180186
40217317	Post-d/c h vst ext pt 20 m	4180186
40217317	Brief (20 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217318	Extensive (75 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217318	Post-d/c h vst new pt 75 m	4180186
40217319	Comprehensive (60 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217319	Post-d/c h vst new pt 60 m	4180186
40217320	Post-d/c h vst new pt 45 m	4180186
40217320	Moderate (45 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217321	Post-d/c h vst new pt 30 m	4180186
40217321	Limited (30 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217322	Post d/c h vst new pt 20 m	4180186
40217322	Brief (20 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)	4180186
40217323	Off base opioid tx, add30	4180186
40217324	Off base opioid tx, 60 m	4180186
40217325	Off base opioid tx 70min	4180186
40217326	Add 30 mins counsel	4180186
40217327	Take-hom buprenorphine	4180186
40217328	Take-home meth	4180186
40217329	Periodic assessment	4180186
40217329	Periodic assessment; assessing periodically by qualified personnel to determine the most appropriate combination of services and treatment (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure	4180186
40217330	Intake activities, including initial medical examination that is a complete, fully documented physical evaluation and initial assessment by a program physician or a primary care physician, or an authorized healthcare professional under the supervision of a program physician qualified personnel that includes preparation of a treatment plan that includes the patient's short-term goals and the tasks the patient must perform to complete the short-term goals; the patient's requirements for education, vocational rehabilitation, and employment; and the medical, psycho- social, economic, legal, or other supportive services that a patient needs, conducted by qualified personnel (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure	4180186
40217330	Intake act w/med exam	4180186
40217331	Medication assisted treatment, medication not otherwise specified; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing, if performed (provision of the services by a medicare-enrolled opioid treatment program)	4180186
40217331	Med tx meds nos	4180186
40217332	Med assist tx no drug	4180186
40217333	Med tx naltrexone	4180186
40217333	Medication assisted treatment, naltrexone; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)	4180186
40217334	Med tx insert/remove imp	4180186
40217334	Medication assisted treatment, buprenorphine (implant insertion and removal); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)	4180186
40217335	Medication assisted treatment, buprenorphine (implant removal); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)	4180186
40217335	Med tx remove implant	4180186
40217336	Med assist tx implant	4180186
40217336	Medication assisted treatment, buprenorphine (implant insertion); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)	4180186
40217337	Med assist tx inject	4180186
